reach_diff,5f_win_diff,5f_loss_diff,5f_finish_diff,5f_finished_diff,5f_opp_win_diff,strpm_diff,tdpm_diff,result
1,0,0,1,-1,-18,-0.10101010101010122,0.07676767676767676,1
-2,0,0,-3,-1,-34,2.175426713627743,0.2783870998954987,1
-2,0,0,1,0,13,0.050669246895661324,-0.17958393807450412,0
-2,-3,3,-1,0,9,-0.007034721785332376,0.010659869221926327,0
4,-1,1,1,2,-7,1.9697841602107995,-0.031185031185031183,0
5,1,-1,-1,-1,-9,-1.339896126820327,0.21148036253776434,0
-2,1,-1,1,1,-10,0.3418062776814943,0.17862507221259386,1
0,-3,3,-3,1,-12,-0.17962831439393945,-0.16512784090909094,0
-2,-2,2,-2,0,20,-1.77697081541232,0.03348563094369947,1
-2,-2,2,-1,1,1,0.22649572649572658,0.4728826728826728,0
-2,-1,1,0,2,3,0.21479974799038093,0.3026481715006305,1
-3,0,0,1,0,-5,-2.0481444493909753,0.1474333521836259,1
0,-2,2,-1,1,-7,-1.560158382307713,0.08713085842747523,0
2,1,-1,-2,-2,9,-0.1860082304526749,0.13662551440329218,0
-1,1,-1,0,0,-23,-1.930404594020383,0.028943560057887122,0
-3,1,-1,1,-2,6,-1.958016257350398,0.011503486318702325,1
0,-1,1,-1,0,9,-1.3408064359384968,-0.19292604501607716,1
-5,0,0,1,0,23,-5.4162481404942895,0.0,1
5,0,0,0,2,-5,3.6128749887213,0.19629225736095965,1
4,0,0,2,2,-4,3.7484690034926125,0.04701688431832149,1
3,0,0,2,0,-14,0.014222378297703786,-0.11483253588516748,0
0,0,0,-1,1,-5,0.1250630358043363,0.05486636409480583,0
-3,0,0,0,0,0,-4.998822806019003,0.13468013468013468,1
1,0,0,0,1,-14,-1.9164983164983165,0.12502805836139172,1
-2,0,0,-1,1,1,-3.2,0.17777777777777778,1
0,-1,1,0,1,-3,-3.0888888888888886,0.08888888888888888,1
4,1,-1,1,1,0,-0.4476354347748961,0.0276279845318764,1
3,0,0,-1,0,5,2.0481444493909753,-0.1474333521836259,0
8,0,0,-1,1,9,1.4345596190983754,-0.050697084917617236,0
5,0,0,-2,1,7,2.6895000221425085,-0.04951950755059563,0
6,0,0,-2,1,3,-0.039150423648314,0.025806451612903226,0
4,1,-1,-1,1,-17,-0.9990796676422324,0.2523227911025222,0
-2,1,-1,-2,0,2,-4.291970424627717,0.3008499464464637,0
-2,2,-2,2,-2,3,0.32601632879014186,-0.05796936437858138,1
0,-2,2,1,0,19,-2.3086315346814397,-0.046172862601527344,0
0,-1,1,1,1,1,-0.5384482460687745,-0.022222222222222223,1
-4,2,-2,1,-2,-11,1.0970170058544744,-0.3715170278637771,1
4,0,0,1,2,-11,-2.637737303652308,0.015187433747711268,0
1,-2,2,2,1,1,4.271663097787295,-0.1365691172971687,1
-2,-1,1,2,2,-10,-2.2381939946399814,-0.5098732492289774,0
1,0,0,0,0,-4,-2.967266215998713,0.12232415902140671,1
2,2,-2,1,-1,-1,-0.22649572649572658,-0.4728826728826728,1
3,0,0,1,0,-8,-0.9564949836475898,-0.21455191630884962,1
3,0,0,0,-1,26,0.3810364065703089,-0.0711523989931754,1
-2,2,-2,3,0,42,0.7599990925383979,0.016089992269125192,0
5,0,0,1,3,-20,-0.22287104622871023,-0.031792376317923754,1
6,1,-1,2,0,6,0.34247988446461797,-0.06062433543349571,0
1,0,0,0,0,-2,2.207125297537753,0.17208413001912046,1
2,0,0,3,1,-27,0.5737870195337114,0.03780718336483932,1
2,0,0,0,1,10,-2.7829842254978017,-0.029583656581329193,1
-1,-1,1,-1,0,-6,2.622222222222222,-0.04444444444444445,0
1,0,0,-1,-1,-6,-2.8036940563580397,0.12108816276469606,0
0,0,0,1,-1,5,-0.1250630358043363,-0.05486636409480583,1
-1,0,0,0,0,15,-3.198735644732806,0.1283764229628821,0
0,1,-1,0,0,9,0.15813953488372112,0.017054263565891473,1
-1,-1,1,-1,0,16,-3.21896323454527,0.07833791628475405,1
0,-2,2,0,0,13,-3.6444444444444444,-0.06666666666666667,0
-3,0,0,1,1,17,0.7399239469388155,-0.045749142203583684,1
-6,-2,2,-1,2,9,0.1290475766479675,0.0,1
0,-1,1,1,1,25,2.568751888788154,-0.2901178603807797,0
-5,0,0,0,0,-38,0.2926680428806563,0.18882769472856017,0
2,2,-2,4,-3,-23,-2.3429480703776275,-0.015816674816099774,0
3,1,-1,2,-1,-27,-2.1063346056775756,0.07884362680683311,0
2,0,0,1,0,-15,-0.9795144157814866,0.031851873467958446,0
1,2,-2,1,-1,-39,1.3613958405093065,0.01597063158000529,1
2,1,-1,0,-1,-10,2.826992071816665,-0.0025943244108991848,1
-2,0,0,-3,0,-8,-1.6880256835754892,-0.10427944311612063,0
-3,0,0,3,0,-30,1.1011588309795473,-0.17641293694870958,1
-2,1,-1,-1,-1,6,-1.4343103094896499,0.21964357975835738,1
-2,0,0,2,0,-10,-0.7570897361229334,0.12136553021818018,0
-3,0,0,2,0,6,-1.6339608070277052,0.09740322424944492,0
-3,2,-2,-1,0,-38,1.7816927858770901,-0.07281396684076388,0
-3,3,-3,1,-2,5,0.9208705836248794,-0.06484056102416676,1
1,-1,1,-1,1,-1,-2.0146419647997225,0.07634035298766195,1
1,-1,1,1,1,1,-0.8756057534511053,0.22004054445409787,0
-4,2,-2,1,-1,-42,-2.3549230954355065,0.5284335073459479,1
-6,3,-3,3,-2,-41,-0.11292731738138517,0.3902807849606489,0
-3,0,0,2,1,-19,-1.774912655064901,0.5129165468898569,1
1,0,0,-2,-1,7,-1.6394319131161241,-0.03007518796992481,1
-2,-2,2,-2,0,8,1.1980408777347447,-0.13654984069185253,0
-6,-2,2,-4,2,-45,1.2082376632111052,0.02945103813929048,0
-4,-1,1,1,2,-15,0.6850574712643676,0.26206896551724135,0
3,0,0,1,2,-5,0.9022386493858643,0.182707361557209,0
-4,1,-1,1,0,-11,0.9958500931177878,-0.07238951298121488,1
2,1,-1,2,0,-27,-0.08817215661603317,-0.24780410029342692,0
-1,-1,1,-1,2,-11,-1.5495408622956668,0.2551373430814316,1
6,0,0,0,1,-18,0.6231593038821956,-0.017328573553473153,0
